DIEAREA ( 0 0 ) ( 1e+06 1e+06 )
name                                                                                     X              Y     LABEL
u0/r0/out_reg[29]                                                                       25             26        22
u0/r0/out_reg[28]                                                                       22             25        12
u0/r0/out_reg[27]                                                                       23             26        11
u0/r0/out_reg[26]                                                                       24             26         0
u0/r0/out_reg[30]                                                                       22             25        12
u0/r0/out_reg[31]                                                                       23             26        11
u0/r0/out_reg[25]                                                                       21             26        22
u0/r0/out_reg[24]                                                                       25             26        10
u0/r0/rcnt_reg[2]                                                                       22             25        12
u0/r0/rcnt_reg[0]                                                                       22             25        12
u0/r0/rcnt_reg[3]                                                                       23             26        11
u0/r0/rcnt_reg[1]                                                                       22             25        12
u0/w_reg[0][0]                                                                          31             25       115
u0/w_reg[0][1]                                                                          32             23       104
u0/w_reg[0][2]                                                                          28             27       131
u0/w_reg[0][3]                                                                          30             32        36
u0/w_reg[0][4]                                                                          32             25        97
u0/w_reg[0][5]                                                                          32             23       104
u0/w_reg[0][6]                                                                          32             24       114
u0/w_reg[0][7]                                                                          32             23       104
u0/w_reg[0][8]                                                                          36             22       129
u0/w_reg[0][9]                                                                          36             23        93
u0/w_reg[0][10]                                                                         36             22       129
u0/w_reg[0][11]                                                                         36             22       129
u0/w_reg[0][12]                                                                         28             27       131
u0/w_reg[0][13]                                                                         36             23        93
u0/w_reg[0][14]                                                                         36             22       129
u0/w_reg[0][15]                                                                         36             22       129
u0/w_reg[0][16]                                                                         31             25       115
u0/w_reg[0][17]                                                                         28             27       131
u0/w_reg[0][18]                                                                         28             27       131
u0/w_reg[0][19]                                                                         25             26        10
u0/w_reg[0][20]                                                                         32             25        97
u0/w_reg[0][21]                                                                         32             24       114
u0/w_reg[0][22]                                                                         32             24       114
u0/w_reg[0][23]                                                                         32             23       104
u0/w_reg[0][24]                                                                         24             26         0
u0/w_reg[0][25]                                                                         20             27        51
u0/w_reg[0][26]                                                                         24             26         0
u0/w_reg[0][27]                                                                         20             27        51
u0/w_reg[0][28]                                                                         21             26        22
u0/w_reg[0][29]                                                                         28             27       131
u0/w_reg[0][30]                                                                         23             26        11
u0/w_reg[0][31]                                                                         25             26        10
u0/w_reg[1][0]                                                                          14             22        95
u0/w_reg[1][1]                                                                          15             23        98
u0/w_reg[1][2]                                                                          18             28        48
u0/w_reg[1][3]                                                                          18             32        16
u0/w_reg[1][4]                                                                          11             23        96
u0/w_reg[1][5]                                                                          13             25       101
u0/w_reg[1][6]                                                                          11             23        96
u0/w_reg[1][7]                                                                           9             23        54
u0/w_reg[1][8]                                                                          16             24        73
u0/w_reg[1][9]                                                                          18             26        88
u0/w_reg[1][10]                                                                         18             28        48
u0/w_reg[1][11]                                                                         18             26        88
u0/w_reg[1][12]                                                                         15             23        53
u0/w_reg[1][13]                                                                         18             28        48
u0/w_reg[1][14]                                                                         15             25        92
u0/w_reg[1][15]                                                                         12             23        91
u0/w_reg[1][16]                                                                         13             25       101
u0/w_reg[1][17]                                                                         18             28        48
u0/w_reg[1][18]                                                                         16             24        73
u0/w_reg[1][19]                                                                         16             29        17
u0/w_reg[1][20]                                                                         10             25        86
u0/w_reg[1][21]                                                                         15             25        92
u0/w_reg[1][22]                                                                          9             23        43
